id,title,description,price,category,discount_percentage,rating,stock,brand,sku,weight,width,height,depth,warranty_information,shipping_information,availability_status,return_policy,minimum_order_quantity,thumbnail,barcode,qr_code,created_at,updated_at,tags
11,Annibale Colombo Bed,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",1899.99,furniture,8.57,4.77,88,Annibale Colombo,FUR-ANN-ANN-011,10.00,28.16,25.36,17.28,1 year warranty,Ships in 1 month,In Stock,No return policy,1,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp,3610757456581,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:52.171011,2025-04-30 14:42:52.171011,beds;furniture
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",2499.99,furniture,14.40,3.92,60,Annibale Colombo,FUR-ANN-ANN-012,6.00,12.75,20.55,19.06,Lifetime warranty,Ships in 1 week,In Stock,7 days return policy,1,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp,1777662847736,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:52.520753,2025-04-30 14:42:52.520753,furniture;sofas
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",299.99,furniture,19.09,2.87,64,Furniture Co.,FUR-FUR-BED-013,2.00,13.47,24.99,27.35,5 year warranty,Ships overnight,In Stock,7 days return policy,3,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp,6441287925979,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:52.825668,2025-04-30 14:42:52.825668,bedside tables;furniture
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",499.99,furniture,2.01,4.88,26,Knoll,FUR-KNO-KNO-014,10.00,13.81,7.50,5.62,2 year warranty,Ships overnight,In Stock,60 days return policy,5,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp,8919386859966,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:53.134104,2025-04-30 14:42:53.134104,furniture;office chairs
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",799.99,furniture,8.80,3.59,7,Bath Trends,FUR-BAT-WOO-015,10.00,7.98,8.88,28.46,3 year warranty,Ships in 3-5 business days,Low Stock,60 days return policy,2,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp,1958104402873,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:53.453085,2025-04-30 14:42:53.453085,bathroom;furniture
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",1.99,groceries,12.62,4.19,8,,GRO-BRD-APP-016,9.00,13.66,11.01,9.73,3 year warranty,Ships in 2 weeks,In Stock,90 days return policy,7,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp,7962803553314,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:53.768627,2025-04-30 14:42:53.768627,fruits
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",12.99,groceries,9.61,4.47,86,,GRO-BRD-BEE-017,10.00,18.90,5.77,18.57,3 year warranty,Ships overnight,In Stock,60 days return policy,43,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp,5640063409695,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:54.029719,2025-04-30 14:42:54.029719,meat
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,8.99,groceries,9.58,3.13,46,,GRO-BRD-FOO-018,10.00,18.08,9.26,21.86,1 year warranty,Ships overnight,In Stock,No return policy,18,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp,1483991328610,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:54.272213,2025-04-30 14:42:54.272213,cat food;pet supplies
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",9.99,groceries,13.70,3.19,97,,GRO-BRD-CHI-019,1.00,11.03,22.11,16.01,1 year warranty,Ships in 1 month,In Stock,7 days return policy,22,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp,8829514594521,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:54.563315,2025-04-30 14:42:54.563315,meat
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.99,groceries,9.33,4.80,10,,GRO-BRD-COO-020,5.00,19.95,27.54,24.86,Lifetime warranty,Ships in 1-2 business days,In Stock,30 days return policy,46,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,4874727824518,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:54.803946,2025-04-30 14:42:54.803946,cooking essentials
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",1.49,groceries,0.16,4.07,84,,GRO-BRD-CUC-021,4.00,12.80,28.38,21.34,2 year warranty,Ships in 1-2 business days,In Stock,7 days return policy,2,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp,5300066378225,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:55.043693,2025-04-30 14:42:55.043693,vegetables
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,10.99,groceries,10.27,4.55,71,,GRO-BRD-FOO-022,10.00,16.93,27.15,9.29,No warranty,Ships in 1-2 business days,In Stock,60 days return policy,43,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp,5906686116469,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:55.290969,2025-04-30 14:42:55.290969,dog food;pet supplies
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.99,groceries,11.05,2.53,9,,GRO-BRD-EGG-023,2.00,11.42,7.44,16.95,1 week warranty,Ships in 1 week,In Stock,No return policy,32,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp,3478638588469,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:55.574722,2025-04-30 14:42:55.574722,dairy
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",14.99,groceries,4.23,3.78,74,,GRO-BRD-FIS-024,6.00,14.95,26.31,11.27,1 month warranty,Ships in 3-5 business days,In Stock,60 days return policy,50,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp,9595036192098,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:55.910164,2025-04-30 14:42:55.910164,seafood
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",1.29,groceries,0.16,3.25,33,,GRO-BRD-GRE-025,2.00,15.33,26.65,14.44,1 month warranty,Ships in 1 week,In Stock,30 days return policy,12,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp,2365227493323,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:56.147373,2025-04-30 14:42:56.147373,vegetables
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",0.99,groceries,1.00,3.66,3,,GRO-BRD-GRE-026,7.00,15.38,18.12,19.92,2 year warranty,Ships in 1 week,Low Stock,30 days return policy,39,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp,9335000538563,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:56.376560,2025-04-30 14:42:56.376560,vegetables
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",6.99,groceries,14.40,3.97,34,,GRO-BRD-HON-027,2.00,9.28,21.72,17.74,1 month warranty,Ships in 1-2 business days,In Stock,90 days return policy,47,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp,6354306346329,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:56.606241,2025-04-30 14:42:56.606241,condiments
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",5.49,groceries,8.69,3.39,27,,GRO-BRD-CRE-028,1.00,14.83,15.07,24.20,1 month warranty,Ships in 2 weeks,In Stock,No return policy,42,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp,0788954559076,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:56.870254,2025-04-30 14:42:56.870254,desserts
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",3.99,groceries,12.06,3.94,50,,GRO-BRD-JUI-029,1.00,18.56,21.46,28.02,6 months warranty,Ships in 1 week,In Stock,No return policy,25,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp,6936112580956,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:57.161176,2025-04-30 14:42:57.161176,beverages
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",2.49,groceries,15.22,4.93,99,,GRO-BRD-KIW-030,5.00,19.40,18.67,17.13,6 months warranty,Ships overnight,In Stock,7 days return policy,30,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp,2530169917252,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:57.408664,2025-04-30 14:42:57.408664,fruits
31,Lemon,"Zesty and tangy lemons, versatile for cooking, baking, or making refreshing beverages.",0.79,groceries,9.70,3.53,31,,GRO-BRD-LEM-031,3.00,23.77,9.22,12.05,No warranty,Ships in 1 month,In Stock,7 days return policy,29,https://cdn.dummyjson.com/product-images/groceries/lemon/thumbnail.webp,4871812433378,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:57.632140,2025-04-30 14:42:57.632140,fruits
32,Milk,"Fresh and nutritious milk, a staple for various recipes and daily consumption.",3.49,groceries,13.74,2.61,27,,GRO-BRD-MIL-032,5.00,12.92,15.76,11.29,3 year warranty,Ships in 2 weeks,In Stock,7 days return policy,5,https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp,9835034508303,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:57.854203,2025-04-30 14:42:57.854203,dairy
33,Mulberry,"Sweet and juicy mulberries, perfect for snacking or adding to desserts and cereals.",4.99,groceries,12.87,4.95,99,,GRO-BRD-MUL-033,5.00,12.80,18.54,6.31,2 year warranty,Ships in 1 week,In Stock,No return policy,43,https://cdn.dummyjson.com/product-images/groceries/mulberry/thumbnail.webp,2206629068605,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:58.080490,2025-04-30 14:42:58.080490,fruits
34,Nescafe Coffee,"Quality coffee from Nescafe, available in various blends for a rich and satisfying cup.",7.99,groceries,1.59,4.82,57,,GRO-BRD-NES-034,6.00,20.54,29.49,29.20,1 year warranty,Ships in 1-2 business days,In Stock,30 days return policy,8,https://cdn.dummyjson.com/product-images/groceries/nescafe-coffee/thumbnail.webp,8572637994159,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:58.307738,2025-04-30 14:42:58.307738,beverages;coffee
35,Potatoes,"Versatile and starchy potatoes, great for roasting, mashing, or as a side dish.",2.29,groceries,5.38,4.81,13,,GRO-BRD-POT-035,9.00,22.65,9.83,21.75,3 year warranty,Ships in 3-5 business days,In Stock,90 days return policy,9,https://cdn.dummyjson.com/product-images/groceries/potatoes/thumbnail.webp,3590399655074,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:58.584945,2025-04-30 14:42:58.584945,vegetables
36,Protein Powder,"Nutrient-packed protein powder, ideal for supplementing your diet with essential proteins.",19.99,groceries,7.59,4.18,80,,GRO-BRD-PRO-036,9.00,9.01,12.53,22.35,1 week warranty,Ships in 1 month,In Stock,No return policy,6,https://cdn.dummyjson.com/product-images/groceries/protein-powder/thumbnail.webp,0435397154434,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:58.807018,2025-04-30 14:42:58.807018,health supplements
37,Red Onions,"Flavorful and aromatic red onions, perfect for adding depth to your savory dishes.",1.99,groceries,9.90,4.20,82,,GRO-BRD-ONI-037,9.00,16.01,24.96,12.74,1 month warranty,Ships in 3-5 business days,In Stock,7 days return policy,8,https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp,4716374115631,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:59.064312,2025-04-30 14:42:59.064312,vegetables
38,Rice,"High-quality rice, a staple for various cuisines and a versatile base for many dishes.",5.99,groceries,9.29,3.18,59,,GRO-BRD-RIC-038,5.00,17.21,9.88,17.16,6 months warranty,Ships overnight,In Stock,No return policy,20,https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp,7339757397015,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:59.297648,2025-04-30 14:42:59.297648,grains
39,Soft Drinks,"Assorted soft drinks in various flavors, perfect for refreshing beverages.",1.99,groceries,17.48,4.75,53,,GRO-BRD-SOF-039,9.00,19.75,6.79,9.33,6 months warranty,Ships in 2 weeks,In Stock,7 days return policy,10,https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp,2991169581178,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:59.539208,2025-04-30 14:42:59.539208,beverages
40,Strawberry,"Sweet and succulent strawberries, great for snacking, desserts, or blending into smoothies.",3.99,groceries,1.12,3.08,46,,GRO-BRD-STR-040,1.00,28.18,21.25,28.54,1 week warranty,Ships in 1-2 business days,In Stock,No return policy,12,https://cdn.dummyjson.com/product-images/groceries/strawberry/thumbnail.webp,0792647462295,https://cdn.dummyjson.com/public/qr-code.png,2025-04-30 14:42:59.768069,2025-04-30 14:42:59.768069,fruits
